psi,a,sh,k,delta,Ti,N
0,0,1.81E-01,1.45E+00,0.000E+00,2.12E+01,8.17E+00
6.16E-03,1.400E-02,1.81E-01,1.45E+00,0.000E+00,2.12E+01,8.17E+00
2.18E-02,4.442E-02,1.80E-01,1.45E+00,9.694E-03,2.12E+01,8.17E+00
3.22E-02,7.484E-02,1.80E-01,1.45E+00,1.163E-02,2.12E+01,8.17E+00
4.79E-02,1.053E-01,1.80E-01,1.45E+00,1.551E-02,2.12E+01,8.17E+00
5.83E-02,1.255E-01,1.80E-01,1.45E+00,1.939E-02,2.12E+01,8.17E+00
6.87E-02,1.560E-01,1.80E-01,1.45E+00,2.520E-02,2.12E+01,8.18E+00
8.44E-02,1.864E-01,1.79E-01,1.45E+00,2.714E-02,2.09E+01,8.18E+00
9.48E-02,2.168E-01,1.78E-01,1.46E+00,2.908E-02,2.07E+01,8.18E+00
1.05E-01,2.371E-01,1.77E-01,1.46E+00,2.908E-02,2.05E+01,8.19E+00
1.21E-01,2.675E-01,1.77E-01,1.46E+00,2.908E-02,2.04E+01,8.19E+00
1.31E-01,2.979E-01,1.76E-01,1.46E+00,2.908E-02,2.01E+01,8.21E+00
1.42E-01,3.182E-01,1.74E-01,1.46E+00,2.908E-02,1.99E+01,8.21E+00
1.57E-01,3.487E-01,1.74E-01,1.46E+00,2.908E-02,1.96E+01,8.22E+00
1.68E-01,3.791E-01,1.72E-01,1.46E+00,2.908E-02,1.94E+01,8.23E+00
1.84E-01,4.095E-01,1.71E-01,1.46E+00,2.908E-02,1.91E+01,8.23E+00
1.94E-01,4.298E-01,1.70E-01,1.46E+00,3.102E-02,1.89E+01,8.24E+00
2.04E-01,4.602E-01,1.69E-01,1.46E+00,3.490E-02,1.85E+01,8.26E+00
2.20E-01,4.906E-01,1.67E-01,1.46E+00,4.072E-02,1.82E+01,8.27E+00
2.30E-01,5.109E-01,1.66E-01,1.46E+00,4.459E-02,1.80E+01,8.27E+00
2.41E-01,5.413E-01,1.63E-01,1.46E+00,4.653E-02,1.76E+01,8.28E+00
2.57E-01,5.718E-01,1.62E-01,1.46E+00,4.653E-02,1.73E+01,8.29E+00
2.67E-01,5.920E-01,1.61E-01,1.46E+00,4.847E-02,1.70E+01,8.31E+00
2.77E-01,6.225E-01,1.58E-01,1.46E+00,4.847E-02,1.66E+01,8.31E+00
2.93E-01,6.529E-01,1.57E-01,1.46E+00,5.041E-02,1.63E+01,8.32E+00
3.03E-01,6.833E-01,1.55E-01,1.46E+00,5.235E-02,1.60E+01,8.32E+00
3.19E-01,7.036E-01,1.53E-01,1.46E+00,5.429E-02,1.56E+01,8.32E+00
3.30E-01,7.340E-01,1.52E-01,1.46E+00,5.816E-02,1.52E+01,8.32E+00
3.40E-01,7.644E-01,1.50E-01,1.46E+00,6.592E-02,1.49E+01,8.32E+00
3.56E-01,7.847E-01,1.47E-01,1.46E+00,6.980E-02,1.46E+01,8.33E+00
3.66E-01,8.152E-01,1.46E-01,1.46E+00,7.368E-02,1.42E+01,8.34E+00
3.76E-01,8.456E-01,1.44E-01,1.46E+00,7.561E-02,1.39E+01,8.36E+00
3.92E-01,8.760E-01,1.42E-01,1.46E+00,7.755E-02,1.35E+01,8.37E+00
4.03E-01,8.963E-01,1.40E-01,1.46E+00,7.755E-02,1.31E+01,8.38E+00
4.13E-01,9.267E-01,1.38E-01,1.46E+00,7.755E-02,1.28E+01,8.39E+00
4.29E-01,9.571E-01,1.36E-01,1.46E+00,7.949E-02,1.25E+01,8.40E+00
4.39E-01,9.774E-01,1.34E-01,1.46E+00,7.949E-02,1.21E+01,8.42E+00
4.55E-01,1.008E+00,1.31E-01,1.46E+00,7.949E-02,1.18E+01,8.42E+00
4.65E-01,1.038E+00,1.28E-01,1.46E+00,8.143E-02,1.15E+01,8.43E+00
4.76E-01,1.069E+00,1.26E-01,1.46E+00,8.337E-02,1.11E+01,8.44E+00
4.91E-01,1.089E+00,1.24E-01,1.46E+00,8.725E-02,1.08E+01,8.44E+00
5.02E-01,1.119E+00,1.22E-01,1.46E+00,9.113E-02,1.06E+01,8.45E+00
5.12E-01,1.150E+00,1.19E-01,1.46E+00,9.694E-02,1.03E+01,8.47E+00
5.28E-01,1.170E+00,1.17E-01,1.47E+00,1.008E-01,9.98E+00,8.47E+00
5.38E-01,1.201E+00,1.14E-01,1.47E+00,1.047E-01,9.73E+00,8.48E+00
5.49E-01,1.221E+00,1.12E-01,1.47E+00,1.047E-01,9.48E+00,8.48E+00
5.64E-01,1.251E+00,1.09E-01,1.47E+00,1.066E-01,9.15E+00,8.49E+00
5.75E-01,1.282E+00,1.06E-01,1.48E+00,1.066E-01,8.90E+00,8.49E+00
5.85E-01,1.302E+00,1.03E-01,1.48E+00,1.086E-01,8.65E+00,8.49E+00
6.01E-01,1.322E+00,9.99E-02,1.48E+00,1.086E-01,8.40E+00,8.50E+00
6.11E-01,1.342E+00,9.77E-02,1.49E+00,1.105E-01,8.15E+00,8.50E+00
6.27E-01,1.373E+00,9.48E-02,1.49E+00,1.125E-01,7.90E+00,8.52E+00
6.37E-01,1.393E+00,9.18E-02,1.50E+00,1.144E-01,7.73E+00,8.52E+00
6.48E-01,1.424E+00,8.82E-02,1.50E+00,1.202E-01,7.48E+00,8.52E+00
6.63E-01,1.444E+00,8.60E-02,1.50E+00,1.260E-01,7.32E+00,8.52E+00
6.74E-01,1.464E+00,8.31E-02,1.51E+00,1.357E-01,7.07E+00,8.53E+00
6.79E-01,1.495E+00,8.02E-02,1.52E+00,1.454E-01,6.90E+00,8.53E+00
6.95E-01,1.515E+00,7.72E-02,1.52E+00,1.512E-01,6.65E+00,8.53E+00
7.05E-01,1.535E+00,7.36E-02,1.53E+00,1.609E-01,6.48E+00,8.53E+00
7.15E-01,1.566E+00,7.07E-02,1.53E+00,1.706E-01,6.32E+00,8.53E+00
7.31E-01,1.586E+00,6.77E-02,1.54E+00,1.764E-01,6.15E+00,8.53E+00
7.41E-01,1.606E+00,6.41E-02,1.55E+00,1.823E-01,5.99E+00,8.53E+00
7.57E-01,1.637E+00,6.12E-02,1.56E+00,1.881E-01,5.82E+00,8.53E+00
7.68E-01,1.657E+00,5.75E-02,1.56E+00,1.919E-01,5.74E+00,8.53E+00
7.78E-01,1.677E+00,5.46E-02,1.57E+00,1.958E-01,5.57E+00,8.54E+00
7.94E-01,1.697E+00,5.09E-02,1.58E+00,1.997E-01,5.40E+00,8.53E+00
8.04E-01,1.718E+00,4.80E-02,1.59E+00,2.075E-01,5.32E+00,8.53E+00
8.14E-01,1.738E+00,4.44E-02,1.60E+00,2.152E-01,5.15E+00,8.53E+00
8.30E-01,1.758E+00,4.07E-02,1.61E+00,2.288E-01,5.07E+00,8.53E+00
8.41E-01,1.779E+00,3.78E-02,1.62E+00,2.462E-01,4.99E+00,8.53E+00
8.51E-01,1.799E+00,3.41E-02,1.63E+00,2.617E-01,4.82E+00,8.53E+00
8.67E-01,1.819E+00,3.12E-02,1.64E+00,2.753E-01,4.74E+00,8.53E+00
8.77E-01,1.839E+00,2.76E-02,1.65E+00,2.869E-01,4.66E+00,8.53E+00
8.93E-01,1.860E+00,2.46E-02,1.67E+00,2.966E-01,4.57E+00,8.52E+00
9.03E-01,1.880E+00,2.10E-02,1.68E+00,3.083E-01,4.49E+00,8.52E+00
9.14E-01,1.890E+00,1.73E-02,1.70E+00,3.218E-01,4.41E+00,8.52E+00
9.29E-01,1.910E+00,1.44E-02,1.71E+00,3.393E-01,4.32E+00,8.50E+00
9.40E-01,1.931E+00,1.08E-02,1.73E+00,3.606E-01,3.91E+00,8.12E+00
9.50E-01,1.941E+00,7.83E-03,1.75E+00,3.819E-01,3.58E+00,7.68E+00
9.66E-01,1.961E+00,4.17E-03,1.77E+00,4.091E-01,3.16E+00,7.19E+00
9.76E-01,1.971E+00,5.20E-04,1.80E+00,4.401E-01,2.83E+00,6.66E+00
9.97E-01,2.002E+00,-5.32E-03,1.84E+00,4.944E-01,2.25E+00,5.41E+00
